GeneID,CTRLH1,CTRLH2,CTRLN1,CTRLN2
ENSG00000000003,476,516,459,454
ENSG00000000005,0,0,0,0
ENSG00000000419,740,932,1934,1875
ENSG00000000457,325,423,336,342
ENSG00000000460,390,512,581,646
ENSG00000000938,1,0,2,2
ENSG00000000971,2,1,0,2
ENSG00000001036,1534,1776,1896,1863
ENSG00000001084,2433,3152,1330,1266
ENSG00000001167,1099,1278,1032,952
ENSG00000001460,87,77,125,128
ENSG00000001461,345,370,346,316
ENSG00000001497,896,966,1096,978
ENSG00000001561,162,179,101,109
ENSG00000001617,718,840,2260,2077
ENSG00000001626,0,1,1,0
ENSG00000001629,2574,3127,3543,3433
ENSG00000001630,297,410,342,301
ENSG00000001631,80,91,216,171
ENSG00000002016,316,355,300,267
ENSG00000002079,9,7,9,9
ENSG00000002330,547,664,998,966
ENSG00000002549,1843,2219,2297,2128
ENSG00000002586,2821,3295,3451,3274
ENSG00000002587,17,24,10,15
ENSG00000002726,0,5,1,2
ENSG00000002745,1,0,0,0
ENSG00000002746,0,2,2,2
ENSG00000002822,5,3,2,1
ENSG00000002834,4925,5684,7773,7224
ENSG00000002919,695,806,579,525
ENSG00000002933,0,0,0,0
ENSG00000003056,2624,3125,2616,2645
ENSG00000003096,24,25,67,70
ENSG00000003137,14,13,36,24
ENSG00000003147,391,466,819,799
ENSG00000003249,2015,2223,3630,3354
ENSG00000003393,661,788,673,609
ENSG00000003400,3,2,11,10
ENSG00000003402,539,680,668,586
ENSG00000003436,228,256,121,136
ENSG00000003509,346,383,603,579
ENSG00000003756,2167,2650,1578,1452
ENSG00000003987,91,79,102,89
ENSG00000003989,7293,8524,6763,6537
ENSG00000004059,1979,2439,2912,2705
ENSG00000004139,111,112,157,151
ENSG00000004142,3903,4551,4834,4569
ENSG00000004399,1373,1666,2389,2173
ENSG00000004455,2917,3484,3573,3474
ENSG00000004468,3,1,0,0
ENSG00000004478,8424,10227,16716,16070
ENSG00000004487,2305,2744,4372,4241
ENSG00000004534,756,937,971,869
ENSG00000004660,119,147,170,152
ENSG00000004700,660,828,570,579
ENSG00000004766,496,649,544,461
ENSG00000004776,8,16,22,14
ENSG00000004777,175,208,279,247
ENSG00000004779,1636,1907,2433,2229
ENSG00000004799,64,87,58,60
ENSG00000004809,0,0,0,0
